secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,rate
108105,20181120,64881510,SPX,9999,1,32768,,A,,1.659809
108105,20181121,64881510,SPX,9999,1,32768,,A,,1.671807
108105,20181123,64881510,SPX,9999,1,32768,,A,,1.668863
108105,20181126,64881510,SPX,9999,1,32768,,A,,1.662196
108105,20181127,64881510,SPX,9999,1,32768,,A,,1.661866
108105,20181128,64881510,SPX,9999,1,32768,,A,,1.659329
108105,20181129,64881510,SPX,9999,1,32768,,A,,1.657176
108105,20181130,64881510,SPX,9999,1,32768,,A,,1.651253
108105,20181203,64881510,SPX,9999,1,32768,,A,,1.645803
108105,20181204,64881510,SPX,9999,1,32768,,A,,1.651477
108105,20181206,64881510,SPX,9999,1,32768,,A,,1.639444
108105,20181207,64881510,SPX,9999,1,32768,,A,,1.644019
108105,20181210,64881510,SPX,9999,1,32768,,A,,1.649646
108105,20181211,64881510,SPX,9999,1,32768,,A,,1.654777
108105,20181212,64881510,SPX,9999,1,32768,,A,,1.663407
108105,20181213,64881510,SPX,9999,1,32768,,A,,1.662707
108105,20181214,64881510,SPX,9999,1,32768,,A,,1.660842
108105,20181217,64881510,SPX,9999,1,32768,,A,,1.656922
108105,20181218,64881510,SPX,9999,1,32768,,A,,1.652852
108105,20181219,64881510,SPX,9999,1,32768,,A,,1.649101
108105,20181220,64881510,SPX,9999,1,32768,,A,,1.61875
108105,20181221,64881510,SPX,9999,1,32768,,A,,1.619706
108105,20181224,64881510,SPX,9999,1,32768,,A,,1.605421
108105,20181226,64881510,SPX,9999,1,32768,,A,,1.590883
108105,20181227,64881510,SPX,9999,1,32768,,A,,1.534942
108105,20181228,64881510,SPX,9999,1,32768,,A,,1.540489
108105,20181231,64881510,SPX,9999,1,32768,,A,,1.345144
108105,20190102,64881510,SPX,9999,1,32768,,A,,1.336764
108105,20190103,64881510,SPX,9999,1,32768,,A,,1.366518
108105,20190104,64881510,SPX,9999,1,32768,,A,,1.38143
108105,20190107,64881510,SPX,9999,1,32768,,A,,1.419913
108105,20190108,64881510,SPX,9999,1,32768,,A,,1.427338
108105,20190109,64881510,SPX,9999,1,32768,,A,,1.471256
108105,20190110,64881510,SPX,9999,1,32768,,A,,1.518232
108105,20190111,64881510,SPX,9999,1,32768,,A,,1.548803
108105,20190114,64881510,SPX,9999,1,32768,,A,,1.581198
108105,20190115,64881510,SPX,9999,1,32768,,A,,1.588672
108105,20190116,64881510,SPX,9999,1,32768,,A,,1.602064
108105,20190117,64881510,SPX,9999,1,32768,,A,,1.622116
108105,20190118,64881510,SPX,9999,1,32768,,A,,1.649019
108105,20190122,64881510,SPX,9999,1,32768,,A,,1.669509
108105,20190123,64881510,SPX,9999,1,32768,,A,,1.693513
108105,20190124,64881510,SPX,9999,1,32768,,A,,1.704733
108105,20190125,64881510,SPX,9999,1,32768,,A,,1.724176
108105,20190128,64881510,SPX,9999,1,32768,,A,,1.754863
108105,20190129,64881510,SPX,9999,1,32768,,A,,1.760629
108105,20190130,64881510,SPX,9999,1,32768,,A,,1.772321
108105,20190131,64881510,SPX,9999,1,32768,,A,,1.770484
108105,20190201,64881510,SPX,9999,1,32768,,A,,1.792827
108105,20190204,64881510,SPX,9999,1,32768,,A,,1.760379
108105,20190205,64881510,SPX,9999,1,32768,,A,,1.777428
108105,20190206,64881510,SPX,9999,1,32768,,A,,1.791316
108105,20190207,64881510,SPX,9999,1,32768,,A,,1.801984
108105,20190208,64881510,SPX,9999,1,32768,,A,,1.806655
108105,20190211,64881510,SPX,9999,1,32768,,A,,1.857283
108105,20190212,64881510,SPX,9999,1,32768,,A,,1.863048
108105,20190213,64881510,SPX,9999,1,32768,,A,,1.870361
108105,20190214,64881510,SPX,9999,1,32768,,A,,1.880102
108105,20190215,64881510,SPX,9999,1,32768,,A,,1.895541
108105,20190219,64881510,SPX,9999,1,32768,,A,,1.907899
108105,20190220,64881510,SPX,9999,1,32768,,A,,1.910978
108105,20190221,64881510,SPX,9999,1,32768,,A,,1.912415
108105,20190222,64881510,SPX,9999,1,32768,,A,,1.910326
108105,20190225,64881510,SPX,9999,1,32768,,A,,1.890376
108105,20190226,64881510,SPX,9999,1,32768,,A,,1.871969
108105,20190227,64881510,SPX,9999,1,32768,,A,,1.867404
108105,20190228,64881510,SPX,9999,1,32768,,A,,1.863905
108105,20190301,64881510,SPX,9999,1,32768,,A,,1.866644
108105,20190304,64881510,SPX,9999,1,32768,,A,,1.876496
108105,20190305,64881510,SPX,9999,1,32768,,A,,1.846556
108105,20190306,64881510,SPX,9999,1,32768,,A,,1.834284
108105,20190307,64881510,SPX,9999,1,32768,,A,,1.833147
108105,20190308,64881510,SPX,9999,1,32768,,A,,1.827071
108105,20190311,64881510,SPX,9999,1,32768,,A,,1.819183
108105,20190312,64881510,SPX,9999,1,32768,,A,,1.813155
108105,20190313,64881510,SPX,9999,1,32768,,A,,1.801032
108105,20190314,64881510,SPX,9999,1,32768,,A,,1.791567
108105,20190315,64881510,SPX,9999,1,32768,,A,,1.780158
108105,20190318,64881510,SPX,9999,1,32768,,A,,1.760481
108105,20190319,64881510,SPX,9999,1,32768,,A,,1.740207
108105,20190320,64881510,SPX,9999,1,32768,,A,,1.694732
108105,20190321,64881510,SPX,9999,1,32768,,A,,1.705445
108105,20190322,64881510,SPX,9999,1,32768,,A,,1.681567
108105,20190325,64881510,SPX,9999,1,32768,,A,,1.610829
108105,20190326,64881510,SPX,9999,1,32768,,A,,1.62014
108105,20190327,64881510,SPX,9999,1,32768,,A,,1.642149
108105,20190328,64881510,SPX,9999,1,32768,,A,,1.692264
108105,20190329,64881510,SPX,9999,1,32768,,A,,1.701443
108105,20190401,64881510,SPX,9999,1,32768,,A,,1.77733
108105,20190402,64881510,SPX,9999,1,32768,,A,,1.774317
108105,20190403,64881510,SPX,9999,1,32768,,A,,1.791772
108105,20190404,64881510,SPX,9999,1,32768,,A,,1.763724
108105,20190405,64881510,SPX,9999,1,32768,,A,,1.766719
108105,20190408,64881510,SPX,9999,1,32768,,A,,1.726116
108105,20190409,64881510,SPX,9999,1,32768,,A,,1.713188
108105,20190410,64881510,SPX,9999,1,32768,,A,,1.718886
108105,20190411,64881510,SPX,9999,1,32768,,A,,1.717048
108105,20190412,64881510,SPX,9999,1,32768,,A,,1.725551
108105,20190415,64881510,SPX,9999,1,32768,,A,,1.716032
108105,20190416,64881510,SPX,9999,1,32768,,A,,1.725521
108105,20190417,64881510,SPX,9999,1,32768,,A,,1.723981
108105,20190418,64881510,SPX,9999,1,32768,,A,,1.725688
108105,20190422,64881510,SPX,9999,1,32768,,A,,1.732522
108105,20190423,64881510,SPX,9999,1,32768,,A,,1.780038
108105,20190424,64881510,SPX,9999,1,32768,,A,,1.784548
108105,20190425,64881510,SPX,9999,1,32768,,A,,1.783569
108105,20190426,64881510,SPX,9999,1,32768,,A,,1.795526
108105,20190429,64881510,SPX,9999,1,32768,,A,,1.807452
108105,20190430,64881510,SPX,9999,1,32768,,A,,1.824616
108105,20190501,64881510,SPX,9999,1,32768,,A,,1.817931
108105,20190502,64881510,SPX,9999,1,32768,,A,,1.83075
108105,20190503,64881510,SPX,9999,1,32768,,A,,1.83016
108105,20190506,64881510,SPX,9999,1,32768,,A,,1.855566
108105,20190507,64881510,SPX,9999,1,32768,,A,,1.863292
108105,20190508,64881510,SPX,9999,1,32768,,A,,1.881425
108105,20190509,64881510,SPX,9999,1,32768,,A,,1.899763
108105,20190510,64881510,SPX,9999,1,32768,,A,,1.901971
108105,20190513,64881510,SPX,9999,1,32768,,A,,1.919374
108105,20190514,64881510,SPX,9999,1,32768,,A,,1.925959
108105,20190515,64881510,SPX,9999,1,32768,,A,,1.926632
108105,20190516,64881510,SPX,9999,1,32768,,A,,1.928926
108105,20190517,64881510,SPX,9999,1,32768,,A,,1.929401
108105,20190520,64881510,SPX,9999,1,32768,,A,,1.936341
108105,20190521,64881510,SPX,9999,1,32768,,A,,1.941149
108105,20190522,64881510,SPX,9999,1,32768,,A,,1.94354
108105,20190523,64881510,SPX,9999,1,32768,,A,,1.941596
108105,20190524,64881510,SPX,9999,1,32768,,A,,1.940524
108105,20190528,64881510,SPX,9999,1,32768,,A,,1.949328
108105,20190529,64881510,SPX,9999,1,32768,,A,,1.952733
